cell_type,comp,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Excitatory Neurons,1,prerank,ATP Biosynthetic Process (GO:0006754),-0.912096029547553,-2.24104604197362,0.0,6.021068003662338e-05,0.002,12/12,9.01%,ATP5F1E;ATP5F1B;ATP5MC3;ATP5PF;ATP5MF;ATP5PO;ATP5MC1;ATP5F1D;ATP5ME;ATP5MG;ATP5PD;ATP5MC2
Excitatory Neurons,1,prerank,Oxidative Phosphorylation (GO:0006119),-0.9111876139090268,-2.813352908648717,0.0,0.0,0.0,34/35,8.73%,UQCRH;UQCRB;CHCHD10;NDUFB8;NDUFS5;ATP5F1E;ATP5F1B;NDUFA13;ATP5PF;ATP5MF;NDUFB2;NDUFC2;ATP5PO;NDUFB1;NDUFAB1;NDUFA1;ATP5F1D;ATP5ME;ATP5MG;NDUFA8;NDUFA3;NDUFS6;NDUFB10;NDUFA2;NDUFB4;NDUFA11;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFB11;NDUFA7;ATP5PD;NDUFA6
Excitatory Neurons,1,prerank,Ribosomal Small Subunit Assembly (GO:0000028),-0.9097785977859778,-1.9285531192452412,0.0,0.0064251485674636,0.258,7/7,9.16%,RPS14;RPS15;RPS28;RPSA;RPS19;RPS5;RPS27
Excitatory Neurons,1,prerank,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),-0.9094336767704516,-2.748283753443568,0.0,0.0,0.0,31/32,8.73%,NDUFB8;NDUFS5;ATP5F1E;ATP5F1B;NDUFA13;ATP5PF;ATP5MF;NDUFB2;NDUFC2;ATP5PO;NDUFB1;NDUFAB1;NDUFA1;ATP5F1D;ATP5ME;ATP5MG;NDUFA8;NDUFA3;NDUFS6;NDUFB10;NDUFA2;NDUFB4;NDUFA11;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFB11;NDUFA7;ATP5PD;NDUFA6
Excitatory Neurons,1,prerank,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),-0.9081986200614762,-3.0933939105248194,0.0,0.0,0.0,36/41,6.91%,NDUFA4;COX6C;UQCRH;UQCRB;COX7C;NDUFB8;NDUFS5;CYCS;COX4I1;COX8A;COX7A2;COX5B;UQCR10;UQCR11;NDUFB2;COX6A1;NDUFC2;COX6B1;NDUFB1;NDUFAB1;UQCRFS1;NDUFA1;COX7B;NDUFA8;NDUFA3;NDUFS6;UQCRQ;NDUFB10;COX5A;NDUFA2;NDUFB4;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFA7
Excitatory Neurons,1,prerank,Proton Motive Force-Driven ATP Synthesis (GO:0015986),-0.9078800609538366,-2.7664519129799623,0.0,0.0,0.0,34/35,9.01%,NDUFB8;NDUFS5;ATP5F1E;ATP5F1B;NDUFA13;ATP5MC3;ATP5PF;ATP5MF;NDUFB2;NDUFC2;ATP5PO;NDUFB1;ATP5MC1;NDUFAB1;NDUFA1;ATP5F1D;ATP5ME;ATP5MG;NDUFA8;NDUFA3;NDUFS6;NDUFB10;NDUFA2;NDUFB4;NDUFA11;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFB11;NDUFA7;ATP5PD;NDUFA6;ATP5MC2
Excitatory Neurons,1,prerank,Aerobic Electron Transport Chain (GO:0019646),-0.9075270908490638,-3.0860012202512017,0.0,0.0,0.0,35/40,6.91%,NDUFA4;COX6C;UQCRH;UQCRB;COX7C;NDUFB8;NDUFS5;CYCS;COX4I1;COX8A;COX7A2;COX5B;UQCR10;UQCR11;NDUFB2;COX6A1;NDUFC2;COX6B1;NDUFB1;NDUFAB1;UQCRFS1;NDUFA1;COX7B;NDUFA8;NDUFA3;NDUFS6;UQCRQ;NDUFB10;COX5A;NDUFA2;NDUFB4;NDUFC1;NDUFB3;NDUFB7;NDUFA7
Excitatory Neurons,1,prerank,Protein Insertion Into Mitochondrial Membrane (GO:0051204),-0.9051660516605166,-1.8576964045531288,0.0,0.0166398235349212,0.554,7/7,9.62%,NDUFA13;HSP90AA1;TOMM7;TIMM13;TIMM10;ROMO1;TIMM8B
Excitatory Neurons,1,prerank,Ribosomal Small Subunit Biogenesis (GO:0042274),-0.903342271371364,-2.6755868135042,0.0,0.0,0.0,24/25,9.16%,RPS3A;SNU13;RPS23;RPS14;RPS4X;RPS7;RPS8;RPS24;RPS25;RPS15;RPS17;RPS28;RPS15A;RPSA;RPS19BP1;RPS19;RPS16;RPS13;RPS9;RPS6;RPS11;RPS5;MRPS12;RPS27
Excitatory Neurons,1,prerank,Translation (GO:0006412),-0.9029072176823422,-3.411830281207465,0.0,0.0,0.0,96/106,10.12%,RPL34;RPL7A;RPS3A;RPL7;RPL37A;RPL9;RPL24;RPL27;EEF1A2;RPL35A;RPL15;RPL3;RPL17;RPL26;RPL31;RPS23;RPS21;RPL37;RPS14;RPL5;RPS4X;RPL36;RPL14;RPL32;RPS7;RPS20;RPL6;RPL21;RPL38;RPL41;RPL4;RPS8;RPL22;RPL30;RPL29;RPS27A;RPS24;RPL36AL;RPS25;RPS15;RPS17;RPL19;RPL35;EEF1A1;RPL8;UBA52;RPL10A;RPL39;RPL27A;RPS10;RPS28;RPS3;RPL12;RPS15A;RPLP2;GADD45GIP1;RPL10;FAU;EEF1B2;RPLP1;RPL13;RPSA;MRPS24;RPS26;MRPL51;RPS19;CHCHD1;MRPL55;RPL13A;RPL11;RPL18;RPS16;NDUFA7;RPS18;RPL18A;RPS13;RPS2;AURKAIP1;RPS9;RPS6;RPS11;MRPL20;MRPL54;RPL23A;EEF1G;RPL28;RPS5;MRPS12;RPS27;MRPL36;MRPL27;RPL26L1;MRPL12;RPS29;MRPL17;MRPL14
Excitatory Neurons,1,prerank,Regulation Of Protein Dephosphorylation (GO:0035304),-0.902696677132927,-2.213818788882197,0.0,5.619663470084848e-05,0.002,8/12,1.20%,CALM2;CALM3;DYNLL1;YWHAB;ARPP19;PPIA;PIN1;CALM1
Excitatory Neurons,1,prerank,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),-0.9023782231666438,-2.537946660552989,0.0,0.0,0.0,20/21,8.73%,NDUFB8;NDUFS5;NDUFA13;NDUFB2;NDUFC2;NDUFB1;NDUFAB1;NDUFA1;NDUFA8;NDUFA3;NDUFB10;NDUFA2;NDUFB4;NDUFA11;NDUFC1;NDUFB3;NDUFAF8;NDUFB7;NDUFB11;NDUFA6
Excitatory Neurons,1,prerank,NADH Dehydrogenase Complex Assembly (GO:0010257),-0.9023782231666438,-2.537946660552989,0.0,0.0,0.0,20/21,8.73%,NDUFB8;NDUFS5;NDUFA13;NDUFB2;NDUFC2;NDUFB1;NDUFAB1;NDUFA1;NDUFA8;NDUFA3;NDUFB10;NDUFA2;NDUFB4;NDUFA11;NDUFC1;NDUFB3;NDUFAF8;NDUFB7;NDUFB11;NDUFA6
Excitatory Neurons,1,prerank,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",-0.9014167653904832,-2.48929913684141,0.0,0.0,0.0,18/19,8.73%,NDUFA4;NDUFB8;NDUFS5;NDUFB2;NDUFC2;NDUFB1;NDUFAB1;NDUFA8;NDUFA3;NDUFS6;NDUFB10;NDUFA2;NDUFB4;NDUFC1;NDUFB3;NDUFB7;NDUFA7;NDUFA6
Excitatory Neurons,1,prerank,Cellular Respiration (GO:0045333),-0.9003376548048156,-3.1245726622609875,0.0,0.0,0.0,41/49,6.91%,NDUFA4;COX6C;UQCRH;UQCRB;COX7C;NDUFB8;NDUFS5;CYCS;COX4I1;NDUFA13;COX8A;COX7A2;COX5B;UQCR10;UQCR11;NDUFB2;COX6A1;NDUFC2;COX6B1;NDUFB1;NDUFAB1;UQCRFS1;NDUFA1;COX7B;NDUFA8;NDUFA3;NDUFS6;UQCRQ;NDUFB10;COX5A;MTLN;NDUFA2;NDUFB4;BLOC1S1;NDUFA11;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFB11;NDUFA7
Excitatory Neurons,1,prerank,Aerobic Respiration (GO:0009060),-0.8974594615331676,-2.742920106715541,0.0,0.0,0.0,26/30,6.91%,UQCRH;UQCRB;CHCHD10;NDUFB8;NDUFS5;NDUFA13;NDUFB2;NDUFC2;NDUFB1;NDUFAB1;NDUFA1;ATP5F1D;NDUFA8;NDUFA3;NDUFS6;NDUFB10;NDUFA2;NDUFB4;BLOC1S1;NDUFA11;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFB11;NDUFA7
Excitatory Neurons,1,prerank,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",-0.8955018598163262,-1.8103480284711704,0.0042016806722689,0.0259885623358076,0.76,5/7,6.78%,RPS21;RPS14;RPS8;RPS19;RPS16
Excitatory Neurons,1,prerank,rRNA Processing (GO:0006364),-0.8946048793685915,-2.5395937670078497,0.0,0.0,0.0,20/22,9.16%,RPL7;RPL27;RPL35A;RPL26;SNU13;RPS14;RPL5;RPL14;RPS7;RPS24;RPS25;NHP2;RPS15;RPS17;RPS28;RPS19;RPL11;RPS16;RPS6;RPS27
Excitatory Neurons,1,prerank,ncRNA Processing (GO:0034470),-0.8915098088540561,-2.4655298169299065,0.0,0.0,0.0,18/20,9.16%,RPL7;RPL27;RPL35A;RPL26;RPL5;RPL14;RPS7;RPS24;RPS25;RPS15;RPS17;RPS28;RPS19;RPL11;RPS16;POP7;RPS6;RPS27
Excitatory Neurons,1,prerank,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),-0.8911245531151664,-2.566954804956445,0.0,0.0,0.0,19/24,7.61%,NDUFA4;COX6C;UQCRH;UQCRB;COX7C;CYCS;COX4I1;COX8A;COX7A2;COX5B;UQCR10;UQCR11;COX6A1;COX6B1;COX7B;UQCRQ;COX5A;MTLN;ADGRF5
Excitatory Neurons,1,prerank,Ribosome Assembly (GO:0042255),-0.8906902179878505,-2.329860223774838,0.0,0.0,0.0,13/15,9.16%,RPS14;RPL5;RPL6;RPS15;RPS28;RPL10;RPSA;RPS19;RPL11;MRPL20;RPL23A;RPS5;RPS27
Excitatory Neurons,1,prerank,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),-0.8902891030392883,-2.671290974284615,0.0,0.0,0.0,31/31,11.50%,NDUFB8;NDUFS5;NDUFA13;NDUFB2;NDUFC2;NDUFB1;NDUFAB1;UQCRFS1;NDUFA1;NDUFA8;COX14;NDUFA3;NDUFB10;NDUFA2;NDUFB4;NDUFA11;NDUFC1;NDUFB3;COX17;NDUFAF8;NDUFB7;NDUFB11;PET100;COA3;COA8;NDUFA6;PET117;NDUFB9;SURF1;SCO2;UQCC3
Excitatory Neurons,1,prerank,Respiratory Chain Complex IV Assembly (GO:0008535),-0.8894630005536077,-1.9529911325313092,0.0035714285714285,0.0043680111517477,0.184,8/8,11.20%,COX14;COX17;PET100;COA3;COA8;PET117;SURF1;SCO2
Excitatory Neurons,1,prerank,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),-0.8894630005536077,-1.9529911325313092,0.0035714285714285,0.0043680111517477,0.184,8/8,11.20%,COX14;COX17;PET100;COA3;COA8;PET117;SURF1;SCO2
Excitatory Neurons,1,prerank,Inner Mitochondrial Membrane Organization (GO:0007007),-0.8865104262779111,-1.963474136983245,0.0,0.0041715194220245,0.161,8/8,11.50%,NDUFA13;MICOS10;MICOS13;TIMM13;TIMM10;ROMO1;TIMM8B;UQCC3
Excitatory Neurons,1,prerank,Negative Regulation Of Cation Channel Activity (GO:2001258),-0.8851026146188994,-1.8795419506840956,0.0,0.0129312043465888,0.447,2/8,0.24%,CALM2;CALM3
Excitatory Neurons,1,prerank,Ribosomal Large Subunit Biogenesis (GO:0042273),-0.8817476916673257,-2.22217902662526,0.0,5.813444969053292e-05,0.002,13/14,11.87%,RPL7;RPL35A;RPL26;RPL5;RPL14;RPL6;RPL10;RPL11;MRPL20;RPL23A;RPL26L1;NOP16;RRS1
Excitatory Neurons,1,prerank,Peptide Biosynthetic Process (GO:0043043),-0.8674541873122089,-3.236253689754152,0.0,0.0,0.0,84/93,10.12%,RPL34;RPL7A;RPS3A;RPL7;RPL37A;RPL9;RPL24;RPL27;EEF1A2;RPL35A;RPL15;RPL3;RPL17;RPL26;RPL31;RPS23;RPS21;RPL37;RPS14;RPL5;RPS4X;RPL36;RPL14;RPL32;RPS7;RPS20;RPL6;RPL21;RPL38;RPL41;RPL4;RPS8;RPL22;RPL30;RPL29;RPS27A;RPS24;RPL36AL;RPS25;RPS15;RPS17;RPL19;RPL35;EEF1A1;RPL8;RPL10A;RPL39;RPL27A;RPS10;RPS28;RPS3;RPL12;RPS15A;RPLP2;RPL10;FAU;RPLP1;RPL13;RPSA;RPS26;MRPL51;RPS19;MRPL55;RPL13A;RPL11;RPL18;RPS16;RPS18;RPL18A;RPS13;RPS2;RPS9;RPS6;RPS11;RPL23A;RPL28;RPS5;MRPS12;RPS27;MRPL36;MRPL27;MRPL12;RPS29;MRPL14
Excitatory Neurons,1,prerank,Positive Regulation Of Dephosphorylation (GO:0035306),-0.8635956116570327,-2.062301940370004,0.0,0.0008166073479967,0.03,6/11,1.20%,CALM2;CALM3;DYNLL1;PPIA;PIN1;CALM1
Excitatory Neurons,1,prerank,"mRNA Splicing, Via Spliceosome (GO:0000398)",-0.8622232323872776,-2.051598785677991,0.0,0.0007933642546002,0.031,8/12,8.84%,PIN1;HSPA8;SNU13;HNRNPA1;LSM4;SNRPD2;SF3B5;BUD31
Excitatory Neurons,1,prerank,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",-0.8622232323872776,-2.051598785677991,0.0,0.0007933642546002,0.031,8/12,8.84%,PIN1;HSPA8;SNU13;HNRNPA1;LSM4;SNRPD2;SF3B5;BUD31
Excitatory Neurons,1,prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.8611939502143244,-3.236342187691375,0.0,0.0,0.0,87/101,10.12%,RPL34;RPL7A;RPS3A;RPL7;RPL37A;RPL9;RPL24;RPL27;EEF1A2;RPL35A;RPL15;RPL3;B4GAT1;RPL17;RPL26;RPL31;RPS23;RPS21;RPL37;RPS14;RPL5;RPS4X;RPL36;RPL14;RPL32;RPS7;RPS20;RPL6;RPL21;RPL38;RPL41;RPL4;RPS8;RPL22;RPL30;RPL29;RPS27A;RPS24;RPL36AL;RPS25;RPS15;RPS17;RPL19;RPL35;EEF1A1;RPL8;RPL10A;RPL39;RPL27A;RPS10;RPS28;RPS3;RPL12;RPS15A;RPLP2;RPL10;FAU;EEF1B2;RPLP1;RPL13;RPSA;RPS26;MRPL51;RPS19;MRPL55;RPL13A;RPL11;RPL18;RPS16;RPS18;RPL18A;RPS13;RPS2;RPS9;RPS6;RPS11;RPL23A;EEF1G;RPL28;RPS5;MRPS12;RPS27;MRPL36;MRPL27;MRPL12;RPS29;MRPL14
Excitatory Neurons,1,prerank,Ribosomal Large Subunit Assembly (GO:0000027),-0.8607856352305845,-1.9842437865043696,0.0,0.0030300617899511,0.114,8/9,13.65%,RPL5;RPL6;RPL10;RPL11;MRPL20;RPL23A;RRS1;DDX28
Excitatory Neurons,1,prerank,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),-0.8583038026788012,-1.963308203172808,0.0,0.0040091501585361,0.163,6/9,4.02%,UBB;RPL17;RPL37;RPS7;RPS20;RPS15
Excitatory Neurons,1,prerank,mRNA Processing (GO:0006397),-0.8515543671599902,-2.0489063158697958,0.0,0.0007706967044687,0.031,12/13,14.35%,PIN1;HSPA8;SNU13;HNRNPA1;LSM4;SNRPD2;SF3B5;BUD31;ALYREF;GEMIN7;SNRPG;RNF113A
Excitatory Neurons,1,prerank,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),-0.8490718708937834,-1.8163120079726325,0.0074626865671641,0.0251981695953268,0.733,2/8,4.61%,STMN1;NUDC
Excitatory Neurons,1,prerank,Detection Of Calcium Ion (GO:0005513),-0.8483806294076133,-1.785466359524332,0.0150943396226415,0.0337848815761053,0.858,3/7,2.05%,CALM2;CALM3;SYT1
Excitatory Neurons,1,prerank,Mitochondrial Translation (GO:0032543),-0.8432598430876549,-2.379618145389406,0.0,0.0,0.0,18/19,15.16%,GADD45GIP1;MRPS24;MRPL51;CHCHD1;MRPL55;NDUFA7;MRPL20;MRPL54;MRPS12;MRPL36;MRPL27;MRPL12;MRPL17;MRPL14;MRPL24;MRPL52;MRPL23;MRPL40
Excitatory Neurons,1,prerank,Mitochondrial Gene Expression (GO:0140053),-0.8432598430876549,-2.379618145389406,0.0,0.0,0.0,18/19,15.16%,GADD45GIP1;MRPS24;MRPL51;CHCHD1;MRPL55;NDUFA7;MRPL20;MRPL54;MRPS12;MRPL36;MRPL27;MRPL12;MRPL17;MRPL14;MRPL24;MRPL52;MRPL23;MRPL40
Excitatory Neurons,1,prerank,Chaperone-Mediated Protein Complex Assembly (GO:0051131),-0.8349668423263173,-1.7538498530207451,0.0073260073260073,0.0446396746080218,0.926,5/7,8.42%,HOPX;HSP90AA1;HSP90AB1;CLU;PFDN6
Excitatory Neurons,1,prerank,Regulation Of Macroautophagy (GO:0016241),-0.8244336557099825,-1.8927310284220733,0.0,0.0111232686728527,0.402,7/10,2.99%,UCHL1;ATP6V0C;ATP6V1E1;GAPDH;ATP6V1G2;PINK1;CAPNS1
Excitatory Neurons,1,prerank,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),-0.8235146182405241,-1.790306340646968,0.0080321285140562,0.0326262920972221,0.84,5/7,6.62%,RPL17;RPL5;RPS7;PARK7;RPL11
Excitatory Neurons,1,prerank,protein-RNA Complex Assembly (GO:0022618),-0.8039722797438551,-2.287759135696425,0.0,3.122035261158249e-05,0.001,19/24,10.23%,RPS14;HSP90AA1;RPL5;RPL6;RPL38;HSP90AB1;RPS15;LSM4;RPS28;RPL10;RPSA;RPS19;RPL11;SNRPD2;MRPL20;RPL23A;RPS5;RPS27;EIF3G
Excitatory Neurons,1,prerank,Regulation Of Cytokinesis (GO:0032465),-0.8038626610730917,-1.8500395435112589,0.0,0.0174792740196884,0.596,5/10,4.48%,CALM2;CALM3;PIN1;CALM1;PDXP
Excitatory Neurons,1,prerank,Gene Expression (GO:0010467),-0.8034361059607255,-3.021533745320358,0.0,0.0,0.0,85/106,9.78%,RPL34;RPL7A;RPS3A;RPL7;RPL37A;RPL9;RPL24;RPL27;EEF1A2;RPL35A;RPL15;RPL3;RPL17;RPL26;RPL31;RPS23;RPS21;RPL37;RPS14;RPL5;RPS4X;RPL36;RPL14;RPL32;RPS7;RPS20;RPL6;RPL21;RPL38;RPL41;STUB1;RPL4;RPS8;RPL22;RPL30;RPL29;RPS27A;RPS24;RPL36AL;RPS25;RPS15;RPS17;RPL19;RPL35;EEF1A1;RPL8;RPL10A;RPL39;RPL27A;RPS10;RPS28;RPS3;RPL12;RPS15A;RPLP2;RPL10;FAU;RPLP1;RPL13;RPSA;RPS26;MRPL51;RPS19;MRPL55;RPL13A;RPL11;RPL18;RPS16;RPS18;RPL18A;RPS13;RPS2;RPS9;RPS6;RPS11;RPL23A;RPL28;RPS5;MRPS12;RPS27;MRPL36;MRPL27;NOX4;MRPL12;RPS29
Excitatory Neurons,1,prerank,Ribonucleoprotein Complex Biogenesis (GO:0022613),-0.7918869996042724,-2.417315334780673,0.0,0.0,0.0,32/36,9.53%,RPS3A;RPL7;RPL35A;RPL26;SNU13;RPS23;RPS14;RPL5;RPS4X;RPL14;RPS7;RPL38;RPS8;RPS24;RPS25;RPS15;RPS17;RPS28;RPS15A;RPS19BP1;RPS19;RPL11;RPS16;RPS13;RPS9;RPS6;RPS11;RPS5;MRPS12;RPS27;MRPL36;RPL26L1
Excitatory Neurons,1,prerank,Ribosome Biogenesis (GO:0042254),-0.788737901980163,-2.410620324394674,0.0,0.0,0.0,32/37,9.53%,RPS3A;RPL7;RPL27;RPL35A;RPL26;SNU13;RPS23;RPS14;RPL5;RPS4X;RPL14;RPS7;RPS8;RPS24;RPS25;RPS15;RPS17;RPS28;RPS15A;RPS19BP1;RPS19;RPL11;RPS16;RPS13;RPS9;RPS6;RPS11;RPS5;MRPS12;RPS27;MRPL36;RPL26L1
Excitatory Neurons,1,prerank,Protein Targeting To Mitochondrion (GO:0006626),-0.7874658530254726,-1.8613161298661052,0.0,0.016119259198376,0.537,9/12,10.65%,NDUFA13;HSP90AA1;TOMM7;TIMM13;FIS1;TIMM10;ROMO1;TIMM8B;TIMM17B
Excitatory Neurons,1,prerank,Hydrogen Peroxide Catabolic Process (GO:0042744),-0.7717991762290516,-1.852061165271436,0.0045662100456621,0.0173453074413195,0.587,7/12,18.30%,PRDX5;PRDX2;HBQ1;HBA1;PRDX1;HBZ;MPO
Excitatory Neurons,1,prerank,Glycolytic Process (GO:0006096),-0.7623231239705461,-1.74565194556146,0.0083333333333333,0.0475019863601608,0.945,4/10,1.35%,TPI1;ENO2;GAPDH;PKM
Excitatory Neurons,1,prerank,Positive Regulation Of Cation Channel Activity (GO:2001259),-0.7513847348867632,-1.7545870380863045,0.012396694214876,0.0449490435496933,0.924,4/10,1.20%,CALM2;TMSB4X;CALM3;CALM1
Excitatory Neurons,1,prerank,Regulation Of Mitochondrial Membrane Potential (GO:0051881),-0.7443092619572453,-1.7765059184612173,0.0079365079365079,0.036029706020703,0.892,6/11,5.56%,UBB;SOD1;ATP5IF1;PINK1;PARK7;MTLN
Excitatory Neurons,1,prerank,Regulation Of Cell Cycle Process (GO:0010564),-0.7431798534028602,-2.0256686250620177,0.0,0.0012878395452277,0.05,6/18,4.48%,CALM2;CALM3;PIN1;CALM1;RPL17;PDXP
Excitatory Neurons,1,prerank,rRNA Metabolic Process (GO:0016072),-0.7240473890117977,-2.064752720454972,0.0,0.0008429495205127,0.03,18/24,9.16%,RPL7;RPL27;RPL35A;RPL26;RPL5;RPL14;RPS7;RPS24;RPS25;RPS15;RPS17;RPS28;TRIR;RPS19;RPL11;RPS16;RPS6;RPS27
Excitatory Neurons,1,prerank,Mitotic Metaphase Plate Congression (GO:0007080),-0.7217174605644269,-1.776863400277961,0.0088495575221238,0.036454324648635,0.889,6/12,12.35%,NUDC;CHMP5;CDCA5;CHMP2A;RRS1;CHMP4A
Excitatory Neurons,1,prerank,Pyruvate Metabolic Process (GO:0006090),-0.7101862349328947,-1.8161702066608796,0.0047169811320754,0.0248004622087691,0.733,5/15,2.23%,TPI1;ENO2;GAPDH;PKM;LDHB
Excitatory Neurons,1,prerank,Positive Regulation Of Protein Dephosphorylation (GO:0035307),-0.7071834069099795,-1.839206729102327,0.0088495575221238,0.0192805544873638,0.639,7/15,3.63%,CALM2;CALM3;DYNLL1;PPIA;PIN1;CALM1;HSP90AB1
Excitatory Neurons,1,prerank,Proteolysis Involved In Protein Catabolic Process (GO:0051603),-0.6743745721172816,-1.7909125545137137,0.0098039215686274,0.032987424569398,0.838,5/17,4.57%,UBB;NEDD8;STUB1;RPS27A;UBA52
Excitatory Neurons,1,prerank,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),-0.6741582682952677,-1.8126775864684928,0.0147058823529411,0.0255500906389892,0.746,7/15,7.04%,PPIA;PINK1;NDUFA13;TPT1;PARK7;CLU;SOD2
Excitatory Neurons,1,prerank,Mitochondrion Organization (GO:0007005),-0.668973956286059,-1.96331424700988,0.0,0.0041093789124995,0.163,14/27,10.65%,CHCHD2;CHCHD10;PINK1;COX7A2;TOMM7;PARK7;ATP5F1D;COX7A1;TIMM13;FIS1;HIGD2A;TIMM10;TIMM8B;TIMM17B
Excitatory Neurons,1,prerank,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),-0.6392599081709763,-1.7861313605127165,0.0056179775280898,0.0340306879006993,0.854,7/20,7.59%,CALM2;CALM3;THY1;ACTB;CALM1;HRAS;CCNI
Excitatory Neurons,2,prerank,Neuron Cell-Cell Adhesion (GO:0007158),-0.9001533908621204,-2.0761444098683093,0.0,0.0082712232667668,0.1,6/7,5.01%,NRXN1;NRXN3;NLGN1;CNTN4;ASTN2;NLGN4Y
Excitatory Neurons,2,prerank,Positive Regulation Of Synapse Assembly (GO:0051965),-0.8962030179236209,-2.2620209654212533,0.0,0.0004648931110126,0.003,8/10,4.99%,NRXN1;PTPRD;IL1RAPL1;NLGN1;CUX2;GRID2;CLSTN2;SYNDIG1
