cell_type,comp,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Excitatory Neurons,1,prerank,RNA Binding (GO:0003723),-0.5861683817409906,-2.3371627643352,0.0,0.0,0.0,119/219,10.23%,PEBP1;TMSB4X;YWHAG;EIF4A2;RPL34;YWHAE;PPIA;RPL7A;RPS3A;HSPA8;RPL7;RPL37A;RPL9;RPL24;PKM;RPL27;TUBA1B;RPL35A;RPL15;RPL3;EIF1;RPL17;RPL26;RPL31;SNU13;SELENOH;RPS23;RPS21;RPL37;RPS14;HSP90AA1;RPL5;RPS4X;RPL36;RPL14;RPL32;RPS7;RPS20;RPL6;RPL21;RPL38;RPL41;RPL4;RPS8;RPL22;HSP90AB1;RPL30;RPL29;TPT1;RPS27A;RPS24;RPL36AL;RPS25;NHP2;RPS15;RPS17;RPL19;EDF1;ARL6IP4;SRP14;PARK7;RPL35;EEF1A1;RPL8;HNRNPA1;RPL10A;RPL39;LSM4;TXN;RPL27A;RPS10;SAP18;RPS28;RPS3;RPL12;RPS15A;RPL10;SLC25A5;FAU;RPL13;RPSA;MRPS24;RPS19BP1;LGALS1;RPS26;NME1;RPS19;CHCHD1;RPL13A;RPL11;RPL18;RPS16;POP7;RPS18;RPL18A;RPS13;RPS2;RPS9;RPS6;RPS11;SNRPD2;NOP10;HSPE1;MRPL20;MRPL54;RPL23A;SF3B5;RPL28;RPS5;MRPS12;RPS27;MRPL27;RPL26L1;MRPL12;BICC1;NCL;MRPL14;NPM3;EIF3G
Excitatory Neurons,1,prerank,Ubiquitin Protein Ligase Binding (GO:0031625),-0.5328637875315505,-1.807038947429216,0.0,0.0154200499687695,0.205,26/52,7.46%,UCHL1;ATP6V0C;TPI1;UBB;YWHAE;HSPA8;TUBA1B;NEDD8;RPL17;GABARAPL2;PINK1;ACTG1;TUBB2A;HSP90AA1;RPL5;STUB1;MAP1LC3A;HSP90AB1;RPS27A;ELOB;UBA52;GABARAP;SLC25A5;RPL11;CLU;BAG1
Excitatory Neurons,1,prerank,Ubiquitin-Like Protein Ligase Binding (GO:0044389),-0.5132535002529249,-1.758910148096481,0.0,0.0280401885336647,0.348,26/55,7.46%,UCHL1;ATP6V0C;TPI1;UBB;YWHAE;HSPA8;TUBA1B;NEDD8;RPL17;GABARAPL2;PINK1;ACTG1;TUBB2A;HSP90AA1;RPL5;STUB1;MAP1LC3A;HSP90AB1;RPS27A;ELOB;UBA52;GABARAP;SLC25A5;RPL11;CLU;BAG1
Excitatory Neurons,1,prerank,Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),0.6800436108519661,1.6514607781126591,0.0010905125408942,0.0436123757957173,0.137,20/42,16.60%,ERBB4;SOX6;ZBTB20;FLI1;SOX2;YAP1;PRDM16;TCF12;TBL1X;SMAD6;PROX1;TCF7L2;PAX6;SOX5;SOX10;FOXC1;TBX18;RUNX1;SOX18;TAL1
Excitatory Neurons,1,prerank,Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),0.6983309803696,1.681276823259502,0.0,0.0261844283529842,0.066,15/41,10.02%,DOCK5;DOCK1;PREX2;DOCK10;RIN2;KIAA1755;DOCK8;RHOU;DOCK4;SPATA13;PREX1;PLCE1;FGD4;ELMO1;DOCK11
Excitatory Neurons,1,prerank,Protein Tyrosine Kinase Activity (GO:0004713),0.7609903948871172,1.7705294382347898,0.0,0.0061210351993989,0.005,18/33,10.43%,ERBB4;EGFR;HIPK2;ERBB3;FGFR3;FLT1;LYN;DDR1;MERTK;SYK;FGFR2;ROR1;ALK;CSF1R;AXL;PDGFRA;KIT;MUSK
Excitatory Neurons,1,prerank,Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714),0.7709171198999075,1.6892364443959789,0.0,0.0270345721306785,0.046,14/23,10.43%,ERBB4;EGFR;EFEMP1;FGFR3;FLT1;DDR1;MERTK;FGFR2;ROR1;CSF1R;AXL;PDGFRA;KIT;MUSK
Excitatory Neurons,1,prerank,Amino Acid Transmembrane Transporter Activity (GO:0015171),0.7866355124789575,1.6443654760268571,0.0,0.0393786597827997,0.157,5/18,4.44%,SLC1A3;SLC1A2;SLC6A1;SLC7A11;SLC7A2
Excitatory Neurons,2,prerank,Glutamate Receptor Activity (GO:0008066),-0.9168223702194288,-2.1360939484252874,0.0,0.0084103026207103,0.008,7/8,7.11%,GRM5;GRM7;GRID2;GRIA4;GRM8;GRM3;GRIN3A
Excitatory Neurons,2,prerank,"3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)",-0.8778748085792846,-1.842789126328095,0.0,0.0413944582113088,0.231,4/6,4.66%,PDE4D;PDE4B;PDE7B;PDE1C
Excitatory Neurons,2,prerank,"3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)",-0.8778748085792846,-1.842789126328095,0.0,0.0413944582113088,0.231,4/6,4.66%,PDE4D;PDE4B;PDE7B;PDE1C
Excitatory Neurons,2,prerank,Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297),-0.8568578958737401,-2.043329741875939,0.0,0.0126154539310655,0.021,3/8,1.88%,NRG3;EFNA5;NRG1
Excitatory Neurons,2,prerank,Potassium Channel Activity (GO:0005267),-0.5662627338697043,-1.85049145362592,0.0,0.0494105278966734,0.216,9/22,9.56%,KCNQ5;GRIK2;KCNT2;KCNMB2;KCND2;KCNC2;KCNK13;GRIK1;GRIK3
Excitatory Neurons,2,prerank,mRNA Binding (GO:0003729),0.7102831869893355,1.711281825591121,0.0010672358591248,0.0019778545142097,0.028,18/41,7.15%,RPL41;RPS14;RPL35;RPL13A;RPL24;RPL26;RPS3A;RPS2;RPL7;RPS7;PKM;RPS3;RPS13;RPS5;RPL5;PARK7;RPS26;NCL
Excitatory Neurons,2,prerank,Ubiquitin-Like Protein Ligase Binding (GO:0044389),0.7514813423211896,1.889942084571233,0.0,0.0,0.0,37/55,16.58%,ATP6V0C;RPS27A;UBB;RPL11;TPI1;HSP90AB1;RPL17;ACTG1;HSP90AA1;UBA52;HSPA8;ELOB;UCHL1;CLU;YWHAE;GABARAPL2;TUBA1B;NEDD8;GABARAP;RPL5;STUB1;PINK1;TUBB2A;MAP1LC3A;SLC25A5;BAG1;TXNIP;EGFR;ERBB3;HSPA1B;HSPA1A;LAPTM5;PRR5L;FOXO1;PARP9;ISG15;GPR37
Excitatory Neurons,2,prerank,Ubiquitin Protein Ligase Binding (GO:0031625),0.7587083948598254,1.9003450216223683,0.0,0.0,0.0,36/52,16.58%,ATP6V0C;RPS27A;UBB;RPL11;TPI1;HSP90AB1;RPL17;ACTG1;HSP90AA1;UBA52;HSPA8;ELOB;UCHL1;CLU;YWHAE;GABARAPL2;TUBA1B;NEDD8;GABARAP;RPL5;STUB1;PINK1;TUBB2A;MAP1LC3A;SLC25A5;BAG1;TXNIP;EGFR;ERBB3;HSPA1B;HSPA1A;LAPTM5;PRR5L;FOXO1;ISG15;GPR37
Excitatory Neurons,2,prerank,Copper Ion Binding (GO:0005507),0.7721422845420434,1.7055672746233552,0.0011376564277588,0.0021014704213478,0.032,9/20,7.81%,MT3;SOD1;SNCB;PARK7;ATOX1;COX17;SNCG;CUTA;S100A13
Excitatory Neurons,2,prerank,RNA Binding (GO:0003723),0.7804978673711329,2.101091983743301,0.0,0.0,0.0,133/219,12.14%,RPL41;RPL13;EIF1;RPS28;RPL3;RPS15;RPL15;PEBP1;RPS14;RPS27;RPL38;RPL32;RPL9;RPS23;RPL18;FAU;RPL34;RPL36;TMSB4X;RPS19;RPS27A;RPL21;RPL10;RPL35;RPS21;RPL19;EEF1A1;RPL37A;RPL7A;RPL13A;RPS18;RPL24;RPL35A;RPS4X;RPL8;RPS24;RPL18A;TPT1;RPL28;RPL11;SRP14;RPL26;RPL27A;RPS11;RPL14;RPL30;RPL29;RPL37;HSP90AB1;RPS25;RPS16;RPL39;YWHAG;RPL23A;RPL17;HSP90AA1;EIF4A2;RPS3A;RPS2;RPSA;RPS8;RPS9;RPL7;RPL27;HSPA8;RPS7;PKM;RPS3;PPIA;EEF2;RPS13;RPS5;YWHAE;RPL6;TUBA1B;RPS6;RPL5;RPS10;RPL22;RPL10A;RPL4;RPS15A;SNU13;RPS17;RPL36AL;EDF1;RPL12;RPS20;HNRNPA1;ARL6IP4;PARK7;RPS26;RPL31;PRDX1;SELENOH;SAP18;RPLP0;RPS19BP1;HSPE1;NHP2;MRPS24;SLC25A5;CSRP1;LGALS1;LSM4;NCL;TXN;ZCCHC24;EIF3G;PFN1;MRPL20;POP7;HSPB1;NME1;SF3B5;CHCHD1;SNRPD2;VIM;MRPL54;NOP10;EZR;ZFP36L2;ZFP36L1;MRPL27;ALDH6A1;HLA-A;AHNAK;MRPS12;MRPL12;CDC42EP4;HSPA1B;SNRPG;MRPL40
Excitatory Neurons,2,prerank,Actin Monomer Binding (GO:0003785),0.8164461338009394,1.586308569310291,0.0075662042875157,0.0458549954478628,0.524,4/9,8.26%,TMSB4X;TMSB10;PFN2;PFN1
Excitatory Neurons,2,prerank,Protein Serine/Threonine Kinase Activator Activity (GO:0043539),0.8529378100125846,1.6152007104071946,0.0012690355329949,0.0280971685400973,0.356,3/8,0.26%,CALM1;CALM2;CALM3
Excitatory Neurons,2,prerank,rRNA Binding (GO:0019843),0.8751177133654429,1.818431718729879,0.0,0.0,0.0,10/14,5.10%,RPS14;RPL11;RPL17;RPS9;RPS3;RPS13;RPS5;RPL5;RPL12;RPLP0
Excitatory Neurons,2,prerank,Proton Transmembrane Transporter Activity (GO:0015078),0.8907250883097779,1.9209399421214768,0.0,0.0,0.0,12/18,6.74%,COX7C;COX4I1;UQCRB;UQCRH;COX8A;UQCR10;COX5B;ATP6V1F;COX6B1;COX7B;COX7A1;COX5A
Excitatory Neurons,2,prerank,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),0.9011972482625076,2.147853709463005,0.0,0.0,0.0,31/33,8.81%,NDUFA4;COX7C;COX4I1;UQCRB;NDUFS5;UQCRH;COX8A;UQCR10;COX5B;COX6B1;NDUFB2;NDUFA1;NDUFB8;NDUFB7;NDUFB10;COX7B;NDUFA3;NDUFC2;NDUFC1;COX7A1;NDUFS6;NDUFA2;NDUFB4;NDUFB1;COX5A;NDUFA8;NDUFB9;NDUFB3;NDUFA12;NDUFA7;NDUFA6
Excitatory Neurons,2,prerank,NADH Dehydrogenase (Quinone) Activity (GO:0050136),0.9045714878079388,2.013158781322846,0.0,0.0,0.0,19/20,8.81%,NDUFA4;NDUFS5;NDUFB2;NDUFB8;NDUFB7;NDUFB10;NDUFA3;NDUFC2;NDUFC1;NDUFS6;NDUFA2;NDUFB4;NDUFB1;NDUFA8;NDUFB9;NDUFB3;NDUFA12;NDUFA7;NDUFA6
Excitatory Neurons,2,prerank,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),0.9151257396449703,2.025315823892183,0.0,0.0,0.0,19/19,8.81%,NDUFA4;NDUFS5;NDUFB2;NDUFB8;NDUFB7;NDUFB10;NDUFA3;NDUFC2;NDUFC1;NDUFS6;NDUFA2;NDUFB4;NDUFB1;NDUFA8;NDUFB9;NDUFB3;NDUFA12;NDUFA7;NDUFA6
Excitatory Neurons,2,prerank,Active Monoatomic Ion Transmembrane Transporter Activity (GO:0022853),0.9184746593659804,1.902879315189376,0.0,0.0,0.0,11/15,6.74%,COX7C;COX4I1;UQCRB;UQCRH;COX8A;UQCR10;COX5B;COX6B1;COX7B;COX7A1;COX5A
Excitatory Neurons,2,prerank,Tau Protein Binding (GO:0048156),0.9216047386151224,1.7756062842628637,0.0,0.0004495123895931,0.005,8/9,6.54%,HSP90AB1;HSP90AA1;CLU;STUB1;PIN1;MAP1A;S100B;APOE
Excitatory Neurons,2,prerank,mRNA 5'-UTR Binding (GO:0048027),0.9228736514357002,1.7967102138484634,0.0,9.889272571048749e-05,0.001,8/10,7.15%,RPL41;RPS14;RPL26;RPS3A;RPS7;RPS13;RPL5;NCL
Excitatory Neurons,2,prerank,Cytochrome-C Oxidase Activity (GO:0004129),0.9261788085177428,1.7637780558681575,0.0,0.0007416954428286,0.009,8/9,6.74%,COX7C;COX4I1;COX8A;COX5B;COX6B1;COX7B;COX7A1;COX5A
Excitatory Neurons,2,prerank,Titin Binding (GO:0031432),0.927394958721748,1.6056455955703497,0.0013404825737265,0.0330741227098408,0.416,3/5,0.26%,CALM1;CALM2;CALM3
Excitatory Neurons,2,prerank,Ubiquitin-Protein Transferase Inhibitor Activity (GO:0055105),0.957380073800738,1.745117627940489,0.0,0.000918289595883,0.013,7/7,4.39%,RPS15;RPL11;RPL37;RPL17;RPS7;RPL5;RPS20
Excitatory Neurons,2,prerank,Ubiquitin Ligase Inhibitor Activity (GO:1990948),0.957380073800738,1.745117627940489,0.0,0.000918289595883,0.013,7/7,4.39%,RPS15;RPL11;RPL37;RPL17;RPS7;RPL5;RPS20
Excitatory Neurons,3,prerank,Protein Kinase Binding (GO:0019901),0.484426879509385,1.8940492072279853,0.0,0.0138456503040867,0.095,22/113,6.25%,HSP90AA1;YWHAG;CALM1;NSF;THY1;NEFH;CALM3;EEF1A2;CALM2;ACTB;PEBP1;PINK1;TUBA4A;RYR2;MAPK8IP2;EEF2;GHR;PHYHIP;NOX4;UTRN;HINT1;PTPRK
Excitatory Neurons,3,prerank,Ubiquitin-Like Protein Ligase Binding (GO:0044389),0.5728654448820546,1.9541620448010248,0.0,0.0102483691970436,0.042,22/55,8.07%,TUBA1B;HSP90AA1;HSP90AB1;TUBB2A;CLU;ACTG1;PINK1;UCHL1;ATP6V0C;TPI1;YWHAE;FHIT;SLC25A5;UBB;GABARAP;HSPA8;RHOBTB3;STUB1;MAP1LC3A;HIF1A;ELOB;MID1
Excitatory Neurons,3,prerank,Microtubule Binding (GO:0008017),0.576248063983021,1.882795324869352,0.0,0.0147902600911879,0.111,13/40,9.95%,MAP1B;NEFM;NEFH;GAPDH;MAP1A;KIF1A;KIF5A;DST;MAP2;MAP1LC3A;MID1;GABARAPL2;MACF1
Excitatory Neurons,3,prerank,Ubiquitin Protein Ligase Binding (GO:0031625),0.5939373468812112,2.0042892899595,0.0,0.0087344055656621,0.014,22/52,8.07%,TUBA1B;HSP90AA1;HSP90AB1;TUBB2A;CLU;ACTG1;PINK1;UCHL1;ATP6V0C;TPI1;YWHAE;FHIT;SLC25A5;UBB;GABARAP;HSPA8;RHOBTB3;STUB1;MAP1LC3A;HIF1A;ELOB;MID1
Excitatory Neurons,3,prerank,Tubulin Binding (GO:0015631),0.5993968363535618,2.051962562535498,0.0,0.0046583496350198,0.004,17/52,9.19%,MAP1B;STMN2;NEFM;NEFH;GAPDH;MAP1A;KIF1A;KIF5A;STMN1;DST;GABARAP;MAP2;MAP1LC3A;AGBL4;MID1;TTLL7;GABARAPL2
Excitatory Neurons,3,prerank,MHC Class II Protein Complex Binding (GO:0023026),0.7130743117371953,1.9214495059729488,0.0,0.0123113526068381,0.067,7/18,6.82%,HSP90AA1;ATP1B1;HSP90AB1;PKM;YWHAE;HSPA8;CD81
Excitatory Neurons,3,prerank,Active Monoatomic Ion Transmembrane Transporter Activity (GO:0022853),0.7642330937679901,1.9594834673235932,0.0028089887640449,0.0113547272353608,0.037,10/15,14.06%,UQCRH;UQCR10;COX6B1;COX7C;COX8A;COX5A;COX7B;COX4I1;COX7A1;SLC47A1
Excitatory Neurons,3,prerank,Cytochrome-C Oxidase Activity (GO:0004129),0.7850286865302118,1.7839491548250137,0.002770083102493,0.0392854152553338,0.349,7/9,11.89%,COX6B1;COX7C;COX8A;COX5A;COX7B;COX4I1;COX7A1
Excitatory Neurons,3,prerank,Pyrophosphatase Activity (GO:0016462),0.8044916381282456,1.8552484941760097,0.0,0.0191627564531497,0.152,7/10,12.47%,CLU;NUDT3;FHIT;NUDT14;ALPL;DCTPP1;PHOSPHO1
Excitatory Neurons,3,prerank,Protein Phosphatase Regulator Activity (GO:0019888),0.8166808264200537,1.8469781136993395,0.0,0.0201861817517525,0.173,6/9,7.96%,CALM1;CALM3;CALM2;ARPP19;PPP2R2B;PPP1R9B
Excitatory Neurons,3,prerank,Disordered Domain Specific Binding (GO:0097718),0.8594361336898546,1.79163958410645,0.0077120822622107,0.0378490907845361,0.324,4/7,1.58%,HSP90AA1;HSP90AB1;GAPDH;FKBP8
Excitatory Neurons,3,prerank,Protein Serine/Threonine Kinase Activator Activity (GO:0043539),0.8832706593728017,1.9631062638972256,0.0,0.0139750489050594,0.034,3/8,0.77%,CALM1;CALM3;CALM2
Excitatory Neurons,3,prerank,Syntaxin Binding (GO:0019905),0.8899587228970901,1.9421971700677263,0.0,0.0108694824817129,0.053,5/8,2.03%,NSF;VAMP2;SNAP25;SYT2;SYT1
Excitatory Neurons,3,prerank,Syntaxin-1 Binding (GO:0017075),0.9017498334982136,1.8106783229208312,0.0,0.0309959418022473,0.258,4/6,2.03%,NSF;VAMP2;SNAP25;SYT1
Excitatory Neurons,3,prerank,Adenylate Cyclase Regulator Activity (GO:0010854),0.9802969144861128,1.9195732132533407,0.0,0.0107724335309833,0.067,4/5,0.88%,CALM1;CALM3;CALM2;GNAS
Excitatory Neurons,4,prerank,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),-0.8457192811868428,-1.842774700752234,0.0,0.0005025274173046,0.001,17/19,12.94%,NDUFA4;NDUFC2;NDUFC1;NDUFS5;NDUFA3;NDUFA8;NDUFB10;NDUFB2;NDUFA7;NDUFB3;NDUFB4;NDUFA12;NDUFA6;NDUFS6;NDUFB1;NDUFB7;NDUFA2
Excitatory Neurons,4,prerank,NADH Dehydrogenase (Quinone) Activity (GO:0050136),-0.8321974848145406,-1.8226130318795692,0.0,0.0010050548346093,0.003,17/20,12.94%,NDUFA4;NDUFC2;NDUFC1;NDUFS5;NDUFA3;NDUFA8;NDUFB10;NDUFB2;NDUFA7;NDUFB3;NDUFB4;NDUFA12;NDUFA6;NDUFS6;NDUFB1;NDUFB7;NDUFA2
Excitatory Neurons,4,prerank,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),-0.82092545088593,-1.990883425539264,0.0,0.0,0.0,28/33,12.94%,NDUFA4;NDUFC2;UQCR10;COX6B1;UQCRH;NDUFC1;COX5A;NDUFS5;NDUFA3;COX4I1;COX8A;NDUFA8;NDUFB10;COX7B;COX7C;NDUFB2;NDUFA7;NDUFA1;NDUFB3;NDUFB4;COX5B;NDUFA12;NDUFA6;NDUFS6;NDUFB1;NDUFB7;UQCRB;NDUFA2
Excitatory Neurons,4,prerank,Cytokine Receptor Activity (GO:0004896),0.6943369955043369,1.7993994922983554,0.0,0.0198807157057654,0.018,9/35,13.36%,IL1RAPL2;GHR;PRLR;CD74;IL4R;CCR1;LIFR;IL10RA;GFRA1
Excitatory Neurons,5,prerank,Calcium Channel Regulator Activity (GO:0005246),-0.7652930675591878,-1.814904065451088,0.0016778523489932,0.0334454190593813,0.053,4/15,3.63%,NRXN1;YWHAE;PRKG1;SGK1
Excitatory Neurons,5,prerank,RNA Binding (GO:0003723),0.5830080698759503,2.3435865084824004,0.0,0.0,0.0,82/219,9.29%,RPL41;RPS27;RPS18;RPL3;RPS27A;RPL37A;RPL26;RPS28;RPSA;FAU;RPL13;RPL23A;RPL18A;SELENOH;RPL10A;RPS7;RPS19;RPS15;RPL32;RPS14;RPS21;RPL38;RPL7A;RPS9;RPS2;RPL35;RPL11;RPL36AL;RPL19;RPL18;RPS23;RPL10;RPS15A;RPL34;RPL9;RPS24;RPS26;RPS16;RPL15;RPL21;RPL6;RPS25;RPL35A;RPL17;QKI;RPL27A;RPL12;RPS10;RPL39;RPS4X;RPS13;MRPS24;ADARB2;RPL24;TMSB4X;RPS5;RPL37;RPL14;RPL29;RPL30;RBPMS;RPS19BP1;RPS6;LGALS1;BICC1;RPL36;RPS3;RPL22;RPL13A;RPS8;RPL28;ARL6IP4;RPL7;RPL22L1;TXN;SRP14;RPL8;HSP90AA1;RPLP0;MRPL40;RPS3A;NQO1
Excitatory Neurons,5,prerank,Phospholipase Activity (GO:0004620),0.6963055846950854,1.754911754046481,0.0048543689320388,0.0491116320374022,0.37,6/16,7.57%,PLCB1;PLA2G4A;PLCL1;PLAAT3;PLD1;ENPP2
Excitatory Neurons,5,prerank,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),0.7241339191493438,2.0908882431292404,0.0,0.0,0.0,24/33,13.75%,COX7C;NDUFB8;NDUFB2;COX4I1;COX7A1;COX7B;NDUFA4;NDUFB10;NDUFB1;NDUFA1;NDUFS5;NDUFB9;COX5B;NDUFB3;NDUFS6;NDUFA12;NDUFA6;NDUFB7;NDUFA7;UQCRB;COX5A;UQCR10;COX6B1;NDUFC1
Excitatory Neurons,5,prerank,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),0.7873941186989056,2.009387165114678,0.0,0.0010774032622464,0.006,13/19,9.08%,NDUFB8;NDUFB2;NDUFA4;NDUFB10;NDUFB1;NDUFS5;NDUFB9;NDUFB3;NDUFS6;NDUFA12;NDUFA6;NDUFB7;NDUFA7
Excitatory Neurons,5,prerank,NADH Dehydrogenase (Quinone) Activity (GO:0050136),0.7913203420148022,2.056079314960993,0.0,0.0002394229471658,0.001,14/20,9.29%,NDUFB8;NDUFB2;NDUFA4;NDUFB10;NDUFB1;NDUFS5;NDUFB9;NDUFB3;NDUFS6;NDUFA12;NDUFA6;NDUFB7;NDUFA7;NQO1
Excitatory Neurons,5,prerank,rRNA Binding (GO:0019843),0.8350920772178066,1.993262187263817,0.0,0.0008619226097971,0.006,9/14,8.94%,RPS14;RPS9;RPL11;RPL17;RPL12;RPS13;RPS5;RPS3;RPLP0
Excitatory Neurons,5,prerank,Ubiquitin-Protein Transferase Inhibitor Activity (GO:0055105),0.9142324713446556,1.8442710584103488,0.0025,0.0145705964989524,0.118,5/7,4.39%,RPS7;RPS15;RPL11;RPL17;RPL37
Excitatory Neurons,5,prerank,Ubiquitin Ligase Inhibitor Activity (GO:1990948),0.9142324713446556,1.8442710584103488,0.0025,0.0145705964989524,0.118,5/7,4.39%,RPS7;RPS15;RPL11;RPL17;RPL37
Excitatory Neurons,6,prerank,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",-0.6348386914702504,-1.9247427581215049,0.0,0.0025140988741508,0.002,23/69,12.11%,MEIS2;NFIB;ERG;NR4A3;ETV1;GLIS3;RFX4;PRDM16;EPAS1;EGR1;EGR4;TCF12;FOS;NR4A1;RREB1;NPAS4;ATF3;MAFF;MECOM;IRF1;ETS1;SOX9;LEF1
