id,Tau binding,Amyloid-beta binding,Calcium homeostasis,Zinc ion binding,mRNA binding,rRNA binding,Ubiquitin regulation,Oxidoreduction,NADH dehydrogenase,Camptothecin,Dactinomycin,Niclosamide,Parthenolide,Teniposide
CDH12,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RRAD,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CDH5,False,False,True,False,False,False,False,False,False,True,True,True,True,True
LCP1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SELL,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CDH9,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ENPP2,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ALOX15B,False,False,True,False,False,False,False,False,False,True,True,True,True,True
S100A6,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SCN10A,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TNNC1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
AIF1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
MYL12A,False,False,True,False,False,False,False,False,False,False,False,False,False,False
REM2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CDH1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TMEM165,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CALM3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
S100A9,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ADGRV1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
HRC,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ALPL,False,False,True,False,False,False,False,False,False,True,False,True,True,True
SYT1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
AIF1L,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ANO4,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CDH6,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CLEC4E,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RASGRP3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CALM1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SNCB,False,False,True,False,False,False,False,False,False,False,False,False,False,False
VSNL1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
DNER,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CLEC3B,False,False,True,False,False,False,False,False,False,True,True,True,True,True
PITPNM1,False,False,True,False,False,False,False,False,False,True,False,True,False,False
TGM2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CPNE4,False,False,True,False,False,False,False,False,False,False,False,False,False,False
S100Z,False,False,True,False,False,False,False,False,False,False,False,False,False,False
S100A8,False,False,True,True,False,False,False,False,False,True,True,True,True,True
S100A5,False,False,True,True,False,False,False,False,False,False,False,False,False,False
CALB2,False,False,True,False,False,False,False,False,False,True,False,True,False,False
CALM2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
PLA2G4A,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TTYH2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
NMUR2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
PRKG1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SLIT2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TRPV6,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ASTN2,False,False,True,False,False,False,False,False,False,True,True,True,False,True
YWHAE,False,False,True,False,False,False,True,False,False,True,True,True,True,True
AOAH,False,False,True,False,False,False,False,False,False,False,False,False,False,False
PLA2G5,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SCN4A,False,False,True,False,False,False,False,False,False,False,False,False,False,False
PLSCR1,False,False,True,True,False,False,False,False,False,True,True,True,True,True
PACSIN3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TRPC4,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TRPC3,False,False,True,False,False,False,False,False,False,False,False,False,False,False
S100A7,False,False,True,True,False,False,False,False,False,True,True,True,True,True
KCNIP1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
KCNIP4,False,False,True,False,False,False,False,False,False,False,False,False,False,False
THBS1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TRPM1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CACNA2D3,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TPT1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CACNB2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SCIN,False,False,True,False,False,False,False,False,False,False,False,False,False,False
PHPT1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
MCTP1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
ATP2A3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SCUBE1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TRPM6,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SPOCK1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
PLSCR4,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TNNI3,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CDH13,False,False,True,False,False,False,False,False,False,True,True,True,True,True
ANXA8,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ORAI1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SCGN,False,False,True,False,False,False,False,False,False,False,False,False,False,True
AOC3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TMC1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ADGRL3,False,False,True,False,False,False,False,False,False,False,False,False,False,False
NPY,False,False,True,False,False,False,False,False,False,True,True,True,True,True
NOTCH4,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ANXA3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SGK1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CACNG6,False,False,True,False,False,False,False,False,False,False,False,False,False,False
MCTP2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
PLA2G1B,False,False,True,False,False,False,False,False,False,False,False,False,False,False
LRP2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SLC8A1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
MELK,False,False,True,False,False,False,False,False,False,True,True,True,True,True
ITPR2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
ANXA1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
HPCAL1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SMOC2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
MB,False,False,True,False,False,False,False,False,False,True,True,True,True,True
MYL12B,False,False,True,False,False,False,False,False,False,True,True,True,True,True
DDR2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CALB1,False,False,True,True,False,False,False,False,False,True,True,True,True,True
IDS,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TNFAIP6,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CATSPER3,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CACHD1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TRPM3,False,False,True,False,False,False,False,False,False,False,False,False,False,False
S100A14,False,False,True,False,False,False,False,False,False,True,True,True,True,True
BCL2L10,False,False,True,False,False,False,False,False,False,False,False,False,False,False
DSG1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SLC24A3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
LCN1,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MT2A,False,False,False,True,False,False,False,False,False,True,True,True,True,True
SLFN13,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ZNF593,False,False,False,True,False,False,False,False,False,True,True,True,True,True
SLC39A4,False,False,False,True,False,False,False,False,False,True,True,True,True,True
ADH1B,False,False,False,True,False,False,False,False,False,True,True,True,True,True
KLF4,False,False,False,True,False,False,False,False,False,True,True,True,True,True
LITAF,False,False,False,True,False,False,False,False,False,True,True,True,True,True
ITGB1BP2,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ACR,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MMP16,False,False,False,True,False,False,False,False,False,True,True,True,True,True
CRIP2,False,False,False,True,False,False,False,False,False,True,True,True,True,True
S100A12,False,False,False,True,False,False,False,False,False,True,True,True,True,True
CDA,False,False,False,True,False,False,False,False,False,True,True,True,True,True
CA2,False,False,False,True,False,False,False,False,False,True,True,True,True,True
POLR2L,False,False,False,True,False,False,False,False,False,True,True,True,True,True
RPS27,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CA9,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MMP9,False,False,False,True,False,False,False,False,False,True,True,True,True,True
TIMM13,False,False,False,True,False,False,False,False,False,True,True,True,True,True
CSRP1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MT1F,False,False,False,True,False,False,False,False,False,True,True,True,True,True
EGR1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
HHIP,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CPA2,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TIMM8B,False,False,False,True,False,False,False,False,False,True,True,True,True,True
SOD1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
CD4,False,False,False,True,False,False,False,False,False,True,True,True,True,True
ANPEP,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MT1E,False,False,False,True,False,False,False,False,False,True,True,True,True,True
TMEM163,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CRIP1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MMP23B,False,False,False,True,False,False,False,False,False,False,False,False,False,False
NRG1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
APOBEC3G,False,False,False,True,False,False,False,False,False,True,True,True,True,True
ADAMTS4,False,False,False,True,False,False,False,False,False,False,False,False,False,False
BBOX1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
GLI2,False,False,False,True,False,False,False,False,False,True,True,True,True,True
TIMM10,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TES,False,False,False,True,False,False,False,False,False,True,True,True,True,True
APOBEC3F,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MT1X,False,False,False,True,False,False,False,False,False,True,True,True,True,True
ZFPM2,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MT3,False,False,False,True,False,False,False,False,False,True,False,True,True,True
MT1M,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MT1H,False,False,False,True,False,False,False,False,False,True,True,True,True,True
RPS29,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MT1A,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MSRB1,False,False,False,True,False,False,False,False,False,False,False,False,False,False
TK1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MT1G,False,False,False,True,False,False,False,False,False,True,True,True,True,True
TRHDE,False,False,False,True,False,False,False,False,False,True,True,True,True,True
TNFSF10,False,False,False,True,False,False,False,False,False,True,True,True,True,True
TIMP1,False,False,False,True,False,False,False,False,False,True,True,True,True,True
ZC3H12A,False,False,False,False,True,False,True,False,False,True,True,True,True,True
RPL7,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPL35,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPS13,False,False,False,False,True,True,False,False,False,False,False,False,False,False
RBMS3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RBFOX1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
SLPI,False,False,False,False,True,False,False,False,False,True,True,True,True,True
MSI2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
KHDRBS2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPL41,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RBPMS,False,False,False,False,True,False,False,False,False,True,True,True,True,True
RPL24,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPS3,False,False,False,False,True,True,False,False,False,False,False,False,False,False
RPS26,False,False,False,False,True,False,False,False,False,True,True,True,True,True
ZFP36,False,False,False,False,True,False,False,False,False,True,True,True,True,True
SAMD4A,False,False,False,False,True,False,False,False,False,True,True,True,True,True
NANOS1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPL13A,False,False,False,False,True,False,False,False,False,True,False,False,True,True
ALYREF,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CELF2,False,False,False,False,True,False,False,False,False,True,True,True,True,True
RPS2,False,False,False,False,True,False,False,False,False,True,True,True,True,True
MRPL12,False,False,False,False,True,False,False,False,False,True,True,True,True,True
RBPMS2,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPS7,False,False,False,False,True,False,True,False,False,False,False,False,False,False
RBM47,False,False,False,False,True,False,False,False,False,True,True,True,True,True
QKI,False,False,False,False,True,False,False,False,False,True,True,True,True,True
PARK7,False,False,False,False,True,False,False,False,False,True,False,False,False,True
IGF2BP1,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPL26,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ZFP36L1,False,False,False,False,True,False,False,False,False,True,True,True,True,True
YBX3,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPS5,False,False,False,False,True,True,False,False,False,True,True,True,True,True
NCL,False,False,False,False,True,False,False,False,False,False,False,False,True,False
RPS3A,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPS14,False,False,False,False,True,True,False,False,False,False,False,False,False,False
IGF2BP2,False,False,False,False,True,False,False,False,False,True,True,True,True,True
TYMS,False,False,False,False,True,False,False,False,False,True,True,True,True,True
RBM42,False,False,False,False,True,False,False,False,False,True,True,True,True,True
PKM,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RPL5,False,False,False,False,True,True,True,False,False,True,True,False,True,True
CAVIN1,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RPL17,False,False,False,False,False,True,True,False,False,True,False,False,True,True
RPL11,False,False,False,False,False,True,True,False,False,False,False,False,False,False
RPS9,False,False,False,False,False,True,False,False,False,True,True,False,True,True
TST,False,False,False,False,False,True,False,False,False,True,True,True,True,True
RRS1,False,False,False,False,False,True,False,False,False,True,True,True,True,True
RPL12,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RPLP0,False,False,False,False,False,True,False,False,False,False,False,False,False,False
DDX28,False,False,False,False,False,True,False,False,False,True,True,True,True,True
TOP2A,False,False,False,False,False,False,True,False,False,True,True,True,True,True
ACTG1,False,False,False,False,False,False,True,False,False,False,False,False,False,False
PARP9,False,False,False,False,False,False,True,False,False,False,False,False,False,False
UCHL1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
UBE2M,False,False,False,False,False,False,True,False,False,True,True,True,True,True
RNF220,False,False,False,False,False,False,True,False,False,False,False,False,True,False
RNF144B,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CXCR4,False,False,False,False,False,False,True,False,False,True,True,True,True,True
ELOB,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HSPB1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
PRR5L,False,False,False,False,False,False,True,False,False,True,False,False,True,False
CASP10,False,False,False,False,False,False,True,False,False,True,True,True,True,True
SLC25A5,False,False,False,False,False,False,True,False,False,True,True,True,True,True
MID1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
ZNRF3,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ASB4,False,False,False,False,False,False,True,False,False,False,False,False,False,False
RPL37,False,False,False,False,False,False,True,False,False,False,False,False,False,False
UBA7,False,False,False,False,False,False,True,False,False,True,True,True,True,True
GABARAPL2,False,False,False,False,False,False,True,False,False,True,True,True,True,True
PYHIN1,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SH3RF3,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TRIM38,False,False,False,False,False,False,True,False,False,True,True,True,True,True
EGFR,False,False,False,False,False,False,True,False,False,True,True,True,True,True
HSPA8,False,False,False,False,False,False,True,False,False,True,True,True,True,True
HSPA1B,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TRIM5,False,False,False,False,False,False,True,False,False,False,False,False,False,False
RNF113A,False,False,False,False,False,False,True,False,False,False,True,True,True,True
RNF187,False,False,False,False,False,False,True,False,False,True,True,True,True,True
GABARAP,False,False,False,False,False,False,True,False,False,True,True,True,True,True
TNFAIP3,False,False,False,False,False,False,True,False,False,True,True,True,True,True
HSPA6,False,False,False,False,False,False,True,False,False,True,True,True,True,True
TRIM34,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TRIM63,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TPI1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
TRIM59,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CKS1B,False,False,False,False,False,False,True,False,False,True,True,True,True,True
MKRN3,False,False,False,False,False,False,True,False,False,False,False,False,False,False
RNF181,False,False,False,False,False,False,True,False,False,False,False,False,False,False
DTX3L,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HSPA1A,False,False,False,False,False,False,True,False,False,True,True,True,True,True
FOXO1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
ERBB3,False,False,False,False,False,False,True,False,False,True,True,True,True,True
TUBB2A,False,False,False,False,False,False,True,False,False,True,True,True,True,True
TUBA1B,False,False,False,False,False,False,True,False,False,False,False,False,False,False
PELI1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
RPS15,False,False,False,False,False,False,True,False,False,False,False,False,False,False
NEDD8,False,False,False,False,False,False,True,False,False,True,True,True,True,True
FBXO2,False,False,False,False,False,False,True,False,False,True,True,True,True,True
TNFRSF1B,False,False,False,False,False,False,True,False,False,True,True,True,False,True
UBA52,False,False,False,False,False,False,True,False,False,False,False,False,False,False
UBB,False,False,False,False,False,False,True,False,False,True,True,True,True,False
FHIT,False,False,False,False,False,False,True,False,False,True,False,True,True,False
CDKN1A,False,False,False,False,False,False,True,False,False,True,True,True,True,True
ISG15,False,False,False,False,False,False,True,False,False,True,True,True,True,True
PINK1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
HERC5,False,False,False,False,False,False,True,False,False,True,True,True,True,True
GGN,False,False,False,False,False,False,True,False,False,False,False,False,False,False
RPS20,False,False,False,False,False,False,True,False,False,False,False,False,False,False
USP53,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ANAPC11,False,False,False,False,False,False,True,False,False,False,False,False,False,False
GPR37,False,False,False,False,False,False,True,False,False,True,True,True,True,True
RHOBTB3,False,False,False,False,False,False,True,False,False,True,True,True,True,True
UBE2C,False,False,False,False,False,False,True,False,False,True,True,True,True,True
BIRC3,False,False,False,False,False,False,True,False,False,True,True,True,True,True
HIF1A,False,False,False,False,False,False,True,False,False,True,True,True,True,True
TXNIP,False,False,False,False,False,False,True,False,False,True,True,True,True,True
BAG1,False,False,False,False,False,False,True,False,False,True,True,True,True,True
RPS27A,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BIRC7,False,False,False,False,False,False,True,False,False,True,False,False,False,False
CKS2,False,False,False,False,False,False,True,False,False,True,True,True,True,True
LAPTM5,False,False,False,False,False,False,True,False,False,True,True,True,True,True
ATP6V0C,False,False,False,False,False,False,True,False,False,True,True,True,True,True
SMAD6,False,False,False,False,False,False,True,False,False,True,True,True,True,True
USP9Y,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TRIM21,False,False,False,False,False,False,True,False,False,True,True,True,True,True
BCL2,False,False,False,False,False,False,True,False,False,True,True,True,True,True
RNF152,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MAP1LC3A,False,False,False,False,False,False,True,False,False,False,False,False,False,False
UQCR10,False,False,False,False,False,False,False,True,False,True,True,True,True,True
NDUFA1,False,False,False,False,False,False,False,True,False,True,False,True,True,True
COX6B1,False,False,False,False,False,False,False,True,False,True,True,True,True,True
NDUFB4,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NDUFA8,False,False,False,False,False,False,False,True,True,True,True,True,True,True
COX7B,False,False,False,False,False,False,False,True,False,True,True,True,True,True
COX5B,False,False,False,False,False,False,False,True,False,True,True,True,True,True
NDUFS5,False,False,False,False,False,False,False,True,True,False,False,False,False,False
NDUFB9,False,False,False,False,False,False,False,True,True,False,False,False,False,False
NDUFB3,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NDUFA3,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NDUFA7,False,False,False,False,False,False,False,True,True,True,True,True,True,True
COX8A,False,False,False,False,False,False,False,True,False,True,True,True,True,True
COX4I2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
COX4I1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
NDUFB10,False,False,False,False,False,False,False,True,True,False,False,False,False,False
NDUFB7,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NDUFA4,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NDUFS6,False,False,False,False,False,False,False,True,True,True,True,True,True,True
COX7A1,False,False,False,False,False,False,False,True,False,True,True,True,True,True
COX5A,False,False,False,False,False,False,False,True,False,True,True,True,True,True
UQCRB,False,False,False,False,False,False,False,True,False,True,True,True,True,True
COX7C,False,False,False,False,False,False,False,True,False,True,True,True,True,True
NDUFB8,False,False,False,False,False,False,False,True,True,False,False,False,True,False
NDUFA6,False,False,False,False,False,False,False,True,True,True,False,False,True,True
NDUFA12,False,False,False,False,False,False,False,True,True,False,False,False,False,False
NDUFA2,False,False,False,False,False,False,False,True,True,True,True,True,True,True
CYBRD1,False,False,False,False,False,False,False,True,False,True,True,True,True,True
NDUFB1,False,False,False,False,False,False,False,True,True,True,True,True,True,True
UQCRH,False,False,False,False,False,False,False,True,False,True,True,True,True,True
NDUFC1,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NDUFB2,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NDUFC2,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NQO1,False,False,False,False,False,False,False,False,True,True,True,True,True,True
HIP1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
TRPS1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
PDLIM1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
FBP1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
ACTB,False,False,False,False,False,False,False,False,False,True,True,True,True,True
TKTL1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
FBN2,False,False,False,False,False,False,False,False,False,True,True,True,True,True
MEA1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
HLA-DQB1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
BUB1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
SRGN,False,False,False,False,False,False,False,False,False,True,True,True,True,True
RAB20,False,False,False,False,False,False,False,False,False,True,True,True,True,True
APOM,False,False,False,False,False,False,False,False,False,True,True,True,False,True
MTUS1,False,False,False,False,False,False,False,False,False,True,True,True,True,True
SERF2,False,False,False,False,False,False,False,False,False,True,True,True,True,True
